title,genre,length,year,plot,star,n_vote,box_office,director,cast
Boys on Film 23: Dangerous to Know,"Drama, Thriller",159 min,(2023),"Boys on Film presents ten encounters from across the globe, where the dangerous allure of a risky attraction yields emotional results - proving that the age-old adage of taking the plunge is as relevant - and sexy - as ever before.",7.0,31,N/A,[],"['Zachary Quinto', 'Russell Kahn', 'Ravdeep Singh Bajwa', 'Péter Dániel Katona']"
I Don't Know Whether to Slit My Wrists or Leave Them Long,"Comedy, Drama",103 min,(2013),"This comedy drama features two couples living in the same building, Lucas & Julia the catholics, Aaron & Nora the jewish and Lola the world traveler spanish. The story takes place at the ...                See full summary »",7.0,"1,913",N/A,['Manolo Caro'],"['Ludwika Paleta', 'Luis Ernesto Franco', 'Luis Gerardo Méndez', 'Raúl Méndez']"
No Shark,"Comedy, Drama, Horror",110 min,(2022),"In this darkly comedic and uniquely angsty journey, twelve vignettes chronicle a young woman's inner monologue as she visits various NYC beaches in hopes of fulfilling her dream of being eaten by a shark.",7.0,135,N/A,['Cody Clarke'],"['Bill Weeden', 'Cody Clarke', 'Livvy Shaffery', 'Brianna Massey']"
Road of Bygones,"Comedy, Drama",74 min,(2019),"A feature-length film that explores the relationship between three women. Bobbi and Samantha are estranged sisters who seek to reconnect after hearing of the loss of their mother, and Ally,...                See full summary »",7.0,79,N/A,['Astrid Ovalles'],"['Oriana Oppice', 'Astrid Ovalles', 'Sarah Jo Ovalles', 'Suzanne Sadler']"
Çilingir Sofrasi,Drama,60 min,(2022),Two former high school buddies meet on a raki night in Beyoglu after 17 years. As they drink and talk they realize another life is possible on a land where toxic masculinity does not exist.,7.0,565,N/A,['Ali Kemal Guven'],"['Ahmet Rifat Sungar', 'Baris Gonenen', 'Gulhan Kadim', 'Adnan Devran']"
Afternoon Breezes,Drama,105 min,(1980),"Two young girls, Mitsu and Natsuko, share the same apartment. Natsuko is Lesbian and secretly in love with Mitsu. But Mitsu is heterosexual and has a boyfriend. In the hope of destroying ...                See full summary »",7.0,105,N/A,['Hitoshi Yazaki'],"['Setsuko Aya', 'Naomi Ito', 'Hiroshi Sugita', 'Mari Atake']"
Are You Proud?,Documentary,100 min,(I) (2019),Rare archive footage and interviews across a spectrum of historical campaigns and current activists in the United Kingdom celebrate the LGBTQ+ Pride movement's landmark achievements.,7.0,160,N/A,['Ashley Joiner'],"['Michael Cashman', 'George Montague', 'Lisa Power', 'Chris Smith']"
Out in the Line-up,"Documentary, Adventure, Drama",69 min,(2014),Two gay surfers embark on a global journey to uncover the taboo of homosexuality in surfing. They become part of an emerging community prepared to step out of the shadows of secrecy and create a more open and accepting surfing culture.,7.0,128,N/A,['Ian W. Thomson'],"['Barney Frank', 'Barton Lynch', 'Brad Farmer', 'Carly Martin']"
Lazare,"Drama, Fantasy, Musical",108 min,(2020),A team of French-Brazilian actors goes to Bucharest to shoot a film at a lower cost. But the Romanian technical team secretly shoot their own film.,7.0,11,N/A,['Philippe Chalem'],"['Emine Meyrem', 'Milena Straube', 'Lionel Rousselot', 'Stanislas Siwiorek']"
Laerte-se,Documentary,100 min,(2017),"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.",7.0,721,N/A,[],"['Laerte Coutinho', 'Eliane Brum', 'Rafael Coutinho', 'Rita Lee']"
Indianara,Documentary,84 min,(2019),Indianara fights for the survival of transgender people in Brazil and braces up for one last battle.,7.0,345,N/A,[],"['Indianara Siqueira', 'Wescla Vasconcelos', 'Biancka Fernandes', 'Jair Bolsonaro']"
Xenia: en vognmands bekendelser,"Documentary, Biography",56 min,(2016),"This is the story about Xenia, who spent half a lifetime as a man before deciding to spend the rest of it as a woman.",7.0,7,N/A,[],[]
"Two Soft Things, Two Hard Things","Documentary, History, News",71 min,(2016),Not the only gay 'Eskimo'.,7.0,377,N/A,[],"['Jack Anawak', 'Alethea Arnaquq-Baril', 'Allison Brewer', 'Franco Buscemi']"
Goodnight & Goodbye,Documentary,65 min,(2018),"This is a journey in which the creator of this documentary tries to find the origin for his creation. While driving on the freeway to Puzi, Chiayi County, WU Yao-tung and Tom continue a ...                See full summary »",7.0,10,N/A,[],[]
Straightlaced: How Gender's Got Us All Tied Up,Documentary,67 min,(2009),"A powerful documentary about the lives of teens and young adults as seen through the gender lens. Approaching society's ideas and ideals of gender through clothes, sexuality, sports, dance,...                See full summary »",7.0,31,N/A,[],[]
Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",135 min,(2018),"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",6.9,"378,080",$213.77M,['Ron Howard'],"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover']"
