title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
Spare Parts,"['Action', ' Horror']",91 min,2020,"While travelling on their first American tour, Ms. 45, an all-girl punk band, is drugged and kidnapped. They awaken to find their limbs removed and replaced with crude weaponry, and are forced to fight as Gladiators for a sadistic town.",4.4,1715,0.0,['Andrew Thomas Hunt'],"['Julian Richings', 'Michelle Argyris', 'Emily Alatalo', 'Kiriana Stanton']",lesbian
Sex Court: The Movie,['Comedy'],95 min,2001,"Compilation of several episodes of Sex Court, an erotic show that parodies cable court shows. Judge Julie listens to the plaintiffs' cases, all related to some sexual theme, then dispenses her own sexy brand of justice.",4.2,255,0.0,['John Quinn'],"['Julie Strain', 'Alexandra Silk', 'Stephanie Swinney', 'Aaron Brumfield']",lesbian
The Unborn,"['Drama', ' Horror', ' Sci-Fi']",83 min,1991,"A couple struggling to conceive visit a miracle doctor as a last hope for having a child. The wife gets pregnant, but after the initial joy comes horror, as she slowly discovers the nightmarish truth behind the doctor's success.",4.7,1609,1160000.0,['Rodman Flender'],"['Brooke Adams', 'Jeff Hayenga', 'James Karen', 'K Callan']",lesbian
Girls with Balls,"['Comedy', ' Horror']",77 min,2018,"After their van breaks down in the middle of nowhere, the women of a volleyball team must fight for their lives against a group of degenerate hunters.",4.0,3753,0.0,['Olivier Afonso'],"['Artus', 'Manon Azem', 'Louise Blachère', 'Tiphaine Daviot']",lesbian
The Scarehouse,"['Crime', ' Horror', ' Thriller']",78 min,2014,"Two years after a tragic accident, six college girls are invited to a party inside an elaborate Halloween fun house. Once inside, the girls realize their hosts' intentions are not all fun and games.",4.5,2363,0.0,['Gavin Michael Booth'],"['Sarah Booth', 'Kimberly-Sue Murray', 'Katherine Barrell', 'Dani Barker']",lesbian
Wild Nights with Emily,"['Comedy', ' History']",84 min,2018,"Dramatization of the little known side of the writer Emily Dickinson's life, in particular, her relationship with another woman.",6.2,1434,520000.0,['Madeleine Olnek'],"['Molly Shannon', 'Susan Ziegler', 'Amy Seimetz', 'Brett Gelman']",lesbian
Hard Lesbian: Quick & Deep,['Drama'],64 min,2005,"Reiko, engaged to her boyfriend, Aki, meets a lesbian girl on a train who opens her up to the lesbian world. Reiko finds herself attracted to the girl, and is forced to make a difficult ...                See full summary »",7.5,34,0.0,['Osamu Satô'],"['Kyoko Natsume', 'Nancy', 'Kyôko Hayami', 'Hitomi Hara']",lesbian
So My Grandma's a Lesbian!,['Comedy'],94 min,2019,A promising young lawyer sees her plans to wed into an important and ultraconservative family in danger when her grandma decides to marry her girl friend.,4.4,1376,0.0,['Ángeles Reiné'],"['Rosa Maria Sardà', 'Verónica Forqué', 'Ingrid García Jonsson', 'David Verdaguer']",lesbian
Jiminy Glick in Lalawood,"['Comedy', ' Mystery']",90 min,2004,Culture critic Jiminy Glick gets tied up in a murder case at the Toronto Film Festival.,5.1,2376,30000.0,['Vadim Jean'],"['Martin Short', 'Jan Hooks', 'Linda Cardellini', 'Janeane Garofalo']",lesbian
Mädchen in Uniform,"['Drama', ' Romance']",87 min,1931,"At an all-girls boarding school, Manuela falls in love with a teacher, to terrific consequences.",7.6,3737,0.0,[],"['Dorothea Wieck', 'Hertha Thiele', 'Emilia Unda', 'Hedy Krilla']",lesbian
Trust the Man,"['Comedy', ' Drama', ' Romance']",103 min,2005,"After much drama, cheating, and trial separations, two men fight to save their respective relationships.",5.7,8835,1530000.0,['Bart Freundlich'],"['David Duchovny', 'Julianne Moore', 'Billy Crudup', 'Maggie Gyllenhaal']",lesbian
Two Mothers,['Drama'],75 min,2013,"Katja and Isabella are happily married and feel the time is right to have a child. As the weeks and months pass by, it becomes clear that the process will be far more fraught than either were prepared for.",5.6,615,0.0,['Anne Zohra Berrached'],"['Karina Plachetka', 'Sabine Wolf', 'Florian Weber', 'Maarten Van Santen']",lesbian
Red Rings of Fear,"['Crime', ' Horror', ' Mystery']",85 min,1978,"A detective investigating the murder of a teenage girl begins to focus his suspicions on the three girlfriends of the victim, who call themselves ""The Inseparables.""",5.6,822,0.0,['Alberto Negrin'],"['Fabio Testi', 'Christine Kaufmann', 'Ivan Desny', 'Jack Taylor']",lesbian
The Bell Jar,"['Biography', ' Drama']",107 min,1979,"As the horrors beneath the idealized 1950s come about, a successful young woman finds herself having a serious mental breakdown when she returns to New England.",5.2,298,0.0,['Larry Peerce'],"['Marilyn Hassett', 'Julie Harris', 'Anne Jackson', 'Barbara Barrie']",lesbian
Five Dolls for an August Moon,"['Crime', ' Horror', ' Mystery']",82 min,1970,"An industrialist invites his colleagues to his private island so they can exploit a resin formula invented by one of the guests, but a killer within the group disrupts the proceedings.",5.7,3455,0.0,['Mario Bava'],"['William Berger', 'Ira von Fürstenberg', 'Edwige Fenech', 'Howard Ross']",lesbian
Luster,"['Comedy', ' Drama']",92 min,2002,"Luster is a refreshingly funny and sexy look at unrequited love. Jackson, a cute, lanky, blue-haired poet who works in a record store, is at the center of Everett Lewis' twisted black LA ...                See full summary »",5.3,1220,0.0,['Everett Lewis'],"['Justin Herwick', 'Barry Wyatt', 'Shane Powers', 'Pamela Gidley']",lesbian
